"","Resultat","Kon","Alder","Utbildare"
"1",TRUE,"Kvinna",18,"Privatist"
"2",FALSE,"Man",18,"Privatist"
"3",TRUE,"Kvinna",18,"Trafikskola"
"4",TRUE,"Man",18,"Trafikskola"
"5",TRUE,"Kvinna",18,"Trafikskola"
"6",TRUE,"Kvinna",18,"Trafikskola"
"7",FALSE,"Kvinna",18,"Privatist"
"8",FALSE,"Man",18,"Trafikskola"
"9",TRUE,"Kvinna",18,"Privatist"
"10",TRUE,"Man",18,"Privatist"
"11",TRUE,"Man",18,"Trafikskola"
"12",TRUE,"Kvinna",18,"Privatist"
"13",TRUE,"Man",18,"Privatist"
"14",FALSE,"Kvinna",18,"Privatist"
"15",TRUE,"Man",18,"Privatist"
"16",FALSE,"Kvinna",18,"Trafikskola"
"17",TRUE,"Man",18,"Privatist"
"18",TRUE,"Kvinna",18,"Privatist"
"19",TRUE,"Kvinna",18,"Privatist"
"20",TRUE,"Kvinna",18,"Trafikskola"
"21",TRUE,"Kvinna",18,"Privatist"
"22",TRUE,"Man",18,"Trafikskola"
"23",FALSE,"Man",18,"Privatist"
"24",FALSE,"Man",18,"Privatist"
"25",FALSE,"Man",18,"Trafikskola"
"26",TRUE,"Kvinna",18,"Trafikskola"
"27",TRUE,"Man",18,"Privatist"
"28",TRUE,"Kvinna",18,"Privatist"
"29",FALSE,"Man",18,"Privatist"
"30",FALSE,"Kvinna",18,"Privatist"
"31",TRUE,"Man",18,"Trafikskola"
"32",TRUE,"Man",18,"Trafikskola"
"33",TRUE,"Man",18,"Privatist"
"34",FALSE,"Man",18,"Privatist"
"35",FALSE,"Kvinna",18,"Privatist"
"36",TRUE,"Man",18,"Privatist"
"37",TRUE,"Man",18,"Privatist"
"38",TRUE,"Man",18,"Trafikskola"
"39",TRUE,"Kvinna",18,"Privatist"
"40",FALSE,"Man",18,"Privatist"
"41",FALSE,"Man",18,"Privatist"
"42",TRUE,"Kvinna",18,"Trafikskola"
"43",FALSE,"Man",18,"Privatist"
"44",FALSE,"Man",18,"Trafikskola"
"45",TRUE,"Man",18,"Privatist"
"46",TRUE,"Kvinna",18,"Privatist"
"47",TRUE,"Man",18,"Trafikskola"
"48",TRUE,"Man",18,"Trafikskola"
"49",TRUE,"Man",18,"Privatist"
"50",FALSE,"Man",18,"Privatist"
"51",TRUE,"Man",18,"Privatist"
"52",TRUE,"Man",18,"Privatist"
"53",TRUE,"Man",18,"Privatist"
"54",FALSE,"Man",18,"Privatist"
"55",TRUE,"Man",18,"Privatist"
"56",FALSE,"Man",18,"Trafikskola"
"57",TRUE,"Man",18,"Privatist"
"58",FALSE,"Kvinna",18,"Trafikskola"
"59",FALSE,"Man",18,"Trafikskola"
"60",TRUE,"Kvinna",18,"Privatist"
"61",TRUE,"Man",18,"Privatist"
"62",FALSE,"Man",18,"Privatist"
"63",TRUE,"Kvinna",18,"Privatist"
"64",TRUE,"Man",18,"Privatist"
"65",FALSE,"Kvinna",18,"Privatist"
"66",TRUE,"Man",18,"Privatist"
"67",TRUE,"Kvinna",18,"Trafikskola"
"68",FALSE,"Kvinna",18,"Trafikskola"
"69",FALSE,"Kvinna",18,"Trafikskola"
"70",TRUE,"Kvinna",18,"Trafikskola"
"71",TRUE,"Man",18,"Privatist"
"72",TRUE,"Kvinna",18,"Privatist"
"73",FALSE,"Man",18,"Privatist"
